Award,Category,Year,Nominee,Won,Tony
DramaDesk,Musical,2000,Contact Ê,1,1
DramaDesk,Musical,2000,James Joyce's The Dead ˆ,0,
DramaDesk,Musical,2000,Saturday Night,0,
DramaDesk,Musical,2000,Swing! ˆ,0,
DramaDesk,Musical,2000,The Wild Party ˆ,0,
DramaDesk,Musical,2001,The Producers Ê,1,1
DramaDesk,Musical,2001,Bat Boy: The Musical,0,
DramaDesk,Musical,2001,Bubbly Black Girl Sheds Her  Chameleon Skin,0,
DramaDesk,Musical,2001,The Full Monty ˆ,0,
DramaDesk,Musical,2001,Urinetown ˆ,0,
DramaDesk,Musical,2002,Thoroughly Modern Millie Ê,1,1
DramaDesk,Musical,2002,The Last Five Years,0,
DramaDesk,Musical,2002,Sweet Smell of Success ˆ,0,
DramaDesk,Musical,2002,"Tick, Tick... BOOM!",0,
DramaDesk,Musical,2003,Hairspray Ê,1,1
DramaDesk,Musical,2003,A Man of No Importance,0,
DramaDesk,Musical,2003,Amour ˆ,0,
DramaDesk,Musical,2003,Avenue Q Ê,0,
DramaDesk,Musical,2003,Movin' Out ˆ,0,
DramaDesk,Musical,2003,"Zanna, Don't!",0,
DramaDesk,Musical,2004,Wicked ˆ,1,0
DramaDesk,Musical,2004,"Caroline, or Change ˆ",0,
DramaDesk,Musical,2004,Johnny Guitar,0,
DramaDesk,Musical,2004,The Musical of Musicals,0,
DramaDesk,Musical,2005,Monty Python's Spamalot Ê,1,1
DramaDesk,Musical,2005,The 25th Annual Putnam County  Spelling Bee ˆ,0,
DramaDesk,Musical,2005,Altar Boyz,0,
DramaDesk,Musical,2005,Dirty Rotten Scoundrels ˆ,0,
DramaDesk,Musical,2005,The Light in the Piazza ˆ,0,
DramaDesk,Musical,2006,The Drowsy Chaperone ˆ,1,0
DramaDesk,Musical,2006,Grey Gardens ˆ,0,
DramaDesk,Musical,2006,Jersey Boys Ê,0,
DramaDesk,Musical,2006,See What I Wanna See,0,
DramaDesk,Musical,2006,Thrill Me,0,
DramaDesk,Musical,2006,The Wedding Singer ˆ,0,
