Award,Category,Year,Nominee,Won,Tony
NYDramaCriticsCircle,Musical,2000,James Joyce's The Dead,1,0
NYDramaCriticsCircle,Musical,2001,The Producers,1,1
NYDramaCriticsCircle,Musical,2003,Hairspray,1,1
NYDramaCriticsCircle,Musical,2006,The Drowsy Chaperone,1,0
NYDramaCriticsCircle,Musical,2007,Spring Awakening,1,1
NYDramaCriticsCircle,Musical,2008,Passing Strange,1,0
NYDramaCriticsCircle,Musical,2009,Billy Elliot the Musical,1,1
NYDramaCriticsCircle,Musical,2011,The Book of Mormon,1,1
NYDramaCriticsCircle,Musical,2012,Once,1,1
NYDramaCriticsCircle,Musical,2013,Matilda the Musical,1,0
NYDramaCriticsCircle,Musical,2014,Fun Home,1,1
NYDramaCriticsCircle,Musical,2015,Hamilton,1,1
NYDramaCriticsCircle,Musical,2016,Shuffle Along,1,0
NYDramaCriticsCircle,Musical,2017,The Band's Visit,1,1
NYDramaCriticsCircle,Musical,2019,Tootsie,1,0
NYDramaCriticsCircle,Musical,2022,Kimberly Akimbo,1,1
NYDramaCriticsCircle,Musical,2024,Dead Outlaw,1,
