Year,Category,Nominee,Won
2000,Actor,Brian Stokes Mitchell,1
2000,Actress,Heather Headley,1
2000,Director,Michael Blakemore,1
2000,FeaturedActor,Boyd Gaines,1
2000,FeaturedActress,Karen Ziemba,1
2018,Actor,Harry Hadden-Paton,0
2018,Actor,Joshua Henry,0
2018,Actor,Ethan Slater,0
2000,Musical,Contact,1
2017,Actor,Christian Borle,0
2017,Actor,Josh Groban,0
2017,Actor,Andy Karl,0
2017,Actor,David Hyde Pierce,0
2000,Revival,"Kiss Me, Kate",1
2016,Actor,Alex Brightman,0
2016,Actor,Danny Burstein,0
2016,Actor,Zachary Levi,0
2016,Actor,Lin-Manuel Miranda,0
2000,Score,Aida,1
2015,Actor,Brian d'Arcy James,0
2015,Actor,Robert Fairchild,0
2015,Actor,Ken Watanabe,0
2015,Actor,Tony Yazbeck,0
2001,Actor,Nathan Lane,1
2014,Actor,Ramin Karimloo,0
2014,Actor,Andy Karl,0
2014,Actor,Jefferson Mays,0
2014,Actor,Bryce Pinkham,0
2001,Actress,Christine Ebersole,1
2013,Actor,Bertie Carvel,0
2013,Actor,Santino Fontana,0
2013,Actor,Rob McClure,0
2013,Actor,Stark Sands,0
2001,Director,Susan Stroman,1
2012,Actor,Danny Burstein,0
2012,Actor,Jeremy Jordan,0
2012,Actor,Norm Lewis,0
2012,Actor,Ron Raines,0
2001,FeaturedActor,Roger Bart,1
2011,Actor,Josh Gad,0
2011,Actor,Joshua Henry,0
2011,Actor,Andrew Rannells,0
2011,Actor,Tony Sheldon,0
2001,FeaturedActress,Cady Huffman,1
2010,Actor,Kelsey Grammer,0
2010,Actor,Sean Hayes,0
2010,Actor,Chad Kimball,0
2010,Actor,Sahr Ngaujah,0
2001,Musical,The Producers,1
2009,Actor,Gavin Creel,0
2009,Actor,Brian d'Arcy James,0
2009,Actor,Constantine Maroulis,0
2009,Actor,J. Robert Spencer,0
2001,Revival,42nd Street,1
2008,Actor,Daniel Evans,0
2008,Actor,Lin-Manuel Miranda,0
2008,Actor,Stew,0
2008,Actor,Tom Wopat,0
2001,Score,The Producers,1
2007,Actor,Michael Cerveris,0
2007,Actor,Raúl Esparza,0
2007,Actor,Jonathan Groff,0
2007,Actor,Gavin Lee,0
2002,Actor,John Lithgow,1
2006,Actor,Michael Cerveris,0
2006,Actor,"Harry Connick, Jr.",0
2006,Actor,Stephen Lynch,0
2006,Actor,Bob Martin,0
2002,Actress,Sutton Foster,1
2005,Actor,Hank Azaria,0
2005,Actor,Gary Beach,0
2005,Actor,Tim Curry,0
2005,Actor,John Lithgow,0
2002,Director,John Rando,1
2004,Actor,Hunter Foster,0
2004,Actor,Alfred Molina,0
2004,Actor,Euan Morton,0
2004,Actor,John Tartaglia,0
2002,FeaturedActor,Shuler Hensley,1
2003,Actor,Antonio Banderas,0
2003,Actor,Malcolm Gets,0
2003,Actor,Brian Stokes Mitchell,0
2003,Actor,John Selya,0
2002,FeaturedActress,Harriet Sansom Harris,1
2002,Actor,Gavin Creel,0
2002,Actor,John McMartin,0
2002,Actor,Patrick Wilson,0
2002,Actor,John Cullum,0
2002,Musical,Thoroughly Modern Millie,1
2001,Actor,Matthew Broderick,0
2001,Actor,Kevin Chamberlin,0
2001,Actor,Tom Hewitt,0
2001,Actor,Patrick Wilson,0
2002,Revival,Into the Woods,1
2000,Actor,Craig Bierko,0
2000,Actor,George Hearn,0
2000,Actor,Mandy Patinkin,0
2000,Actor,Christopher Walken,0
2002,Score,Urinetown,1
2003,Actor,Harvey Fierstein,1
2003,Actress,Marissa Jaret Winokur,1
2003,Director,Jack O'Brien,1
2003,FeaturedActor,Dick Latessa,1
2003,FeaturedActress,Jane Krakowski,1
2018,Actress,Lauren Ambrose,0
2018,Actress,Hailey Kilgore,0
2018,Actress,LaChanze,0
2018,Actress,Taylor Louderman,0
2018,Actress,Jessie Mueller,0
2003,Musical,Hairspray,1
2017,Actress,Denée Benton,0
2017,Actress,Christine Ebersole,0
2017,Actress,Patti LuPone,0
2017,Actress,Eva Noblezada,0
2003,Revival,Nine,1
2016,Actress,Laura Benanti,0
2016,Actress,Carmen Cusack,0
2016,Actress,Jessie Mueller,0
2016,Actress,Phillipa Soo,0
2003,Score,Hairspray,1
2015,Actress,Kristin Chenoweth,0
2015,Actress,Leanne Cope,0
2015,Actress,Beth Malone,0
2015,Actress,Chita Rivera,0
2004,Actor,Hugh Jackman,1
2014,Actress,Mary Bridget Davies,0
2014,Actress,Sutton Foster,0
2014,Actress,Idina Menzel,0
2014,Actress,Kelli O'Hara,0
2004,Actress,Idina Menzel,1
2013,Actress,Stephanie J. Block,0
2013,Actress,Carolee Carmello,0
2013,Actress,Valisia LeKae,0
2013,Actress,Laura Osnes,0
2004,Director,Joe Mantello,1
2012,Actress,Jan Maxwell,0
2012,Actress,Cristin Milioti,0
2012,Actress,Kelli O'Hara,0
2012,Actress,Laura Osnes,0
2004,FeaturedActor,Michael Cerveris,1
2011,Actress,Beth Leavel,0
2011,Actress,Patina Miller,0
2011,Actress,Donna Murphy,0
2004,FeaturedActress,Anika Noni Rose,1
2010,Actress,Kate Baldwin,0
2010,Actress,Montego Glover,0
2010,Actress,Christiane Noll,0
2010,Actress,Sherie Rene Scott,0
